video_id,title,duration_seconds,total_views,num_chars,num_words,num_punctuation,num_words_uppercase,num_words_lowercase,num_stopwords,avg_word_len,contain_digits,startswith_digits,title_sentiment,active_since_days
v=SQdn_TvryeE,14 MIND-BLOWING TOOL HACKS,542,13471056,26,4,1,3,0,0,6.5,1,1,0.0,1460
v=3PcZxV7jdKw,25 CHEAP AND EASY LAST-MINUTE DIY GIFTS,1200,8571921,39,7,1,6,0,1,5.571428571428571,1,1,0.4166666666666667,1460
v=sdjgQR43o3Q,38 DELICIOUS ONE-MINUTE RECIPES,1200,20406719,31,4,1,3,0,0,7.75,1,1,1.0,1460
v=NoqU-PFHzPA,12 SURPRISING WAYS TO BOOST YOUR IMAGINATION,960,96770,44,7,0,6,0,2,6.285714285714286,1,1,0.7,1460
v=o_CVOhUD1ZA,16 NIFTY STATIONERY CRAFTS YOU NEED,900,3334110,35,6,0,5,0,1,5.833333333333333,1,1,0.0,1460
v=p44sX1aQr14,12 WAYS TO REACT IN AN EMERGENCY TO SAVE LIVES,615,6660383,46,10,0,9,0,4,4.6,1,1,0.0,1460
v=tembk23Nu-g,21 TIME-SAVING BEAUTY HACKS FOR BUSY WOMEN,900,4355838,42,7,1,6,0,1,6.0,1,1,0.1,1460
v=nELQvTZj8uE,16 GORGEOUR DIYs FOR YOUR TEENAGE GIRL,603,3839683,38,7,0,5,0,2,5.428571428571429,1,1,0.0,1460
v=ENgXx6Oyl2k,10 TIPS FOR THE BEST PARENTS EVER,669,736011,33,7,0,6,0,2,4.714285714285714,1,1,1.0,1460
v=wi7738uQV1U,100 BEST HACKS AND CRAFTS FOR YOUR APARTMENT,3420,30861378,44,8,0,7,0,3,5.5,1,1,1.0,1460
v=3B_NfB5kuAg,13 TIPS AND DIYs TO TAKE YOUR PHOTOS TO THE NEXT LEVEL,456,148803,54,12,0,10,0,5,4.5,1,1,0.0,1460
v=9ouwuOJL7Zk,20 BEST LIFE HACKS FOR PEOPLE WHO LIVE ALONE,960,6362976,44,9,0,8,0,2,4.888888888888889,1,1,0.5681818181818181,1460
v=cRQ6AE1gFWA,19 DIY DESIGN ITEMS THAT LOOK BETTER THAN THOSE FROM IKEA,809,25037548,57,11,0,10,0,4,5.181818181818182,1,1,0.5,1460
v=dbTBvEVU3j8,9 INDISPENSABLE CRAFTS FOR PET OWNERS,448,1219901,37,6,0,5,0,1,6.166666666666667,1,1,0.4,1460
v=3nf1qBln2gk,13 CUTE CRAFTS TO MAKE MOMS' LIFE SO MUCH SIMPLER,960,721728,49,10,1,9,0,2,4.9,1,1,0.35,1460
v=mQG7Edc5K3Y,12 SIMPLE HABITS YOUR BODY WILL BE GRATEFUL FOR,900,786674,47,9,0,8,0,4,5.222222222222222,1,1,0.0,1460
v=1aNTVPeLg3c,13 THINGS YOU SHOULD NEVER DO,479,8902671,29,6,0,5,0,3,4.833333333333333,1,1,0.0,1460
v=qU0iXPvnmhE,15 TRUE STORIES ABOUT TRUE LOVE,555,3493670,31,6,0,5,0,1,5.166666666666667,1,1,0.39999999999999997,1460
v=RC9-xOsLhTI,18 LIFE HACKS THAT WILL CHANGE YOUR LIFE FOREVER,662,984273,48,9,0,8,0,3,5.333333333333333,1,1,0.0,1460
v=JOfj58ii1yM,HOW POWERFUL IS YOUR BRAIN?,413,954628,27,5,1,5,0,3,5.4,0,0,0.3,1460
v=_EsIeA05lys,19 WAYS TO AVOID UNFORTUNATE SITUATIONS WE'VE ALL BEEN IN,747,3496221,57,10,1,9,0,4,5.7,1,1,-0.5,1460
v=bS2h4PmlBeM,7 AWESOMELY COOL CRAFTS FROM TOWELS,340,2458986,35,6,0,5,0,1,5.833333333333333,1,1,0.35,1460
v=LcpliVYfEqk,11 MIND-BLOWING OPTICAL ILLUSIONS,486,12759519,33,4,1,3,0,0,8.25,1,1,0.0,1460
v=7nSlEZ2qWjU,17 SUPERB TIPS TO MAKE YOUR LIFE EASIER,900,586599,39,8,0,7,0,2,4.875,1,1,1.0,1460
v=ZgdKQRd_emk,13 INGENIOUS CAR LIFE HACKS,463,3140460,27,5,0,4,0,0,5.4,1,1,0.5,1460
v=lrFOSWKz488,10 EASIEST WAYS TO SET A FANCY DINNER TABLE,439,214355,43,9,0,8,0,2,4.777777777777778,1,1,0.0,1460
v=_qxJOXdf8q8,10 RELATIONSHIP TIPS EVERYONE NEEDS,900,793294,35,5,0,4,0,0,7.0,1,1,0.0,1460
v=ThDT-Nuav14,28 HACKS TO SAVE AND MAKE MONEY,900,1324868,31,7,0,6,0,2,4.428571428571429,1,1,0.0,1460
v=Esyp-ybEhMI,CHEAP AND SIMPLE DECORATING TRICKS TO COZY UP YOUR HOME,524,5124099,55,10,0,10,0,4,5.5,0,0,0.06666666666666668,1460
v=JHQvkgejpyY,21 INGENIOUS WAYS TO SOLVE ALL YOUR DAILY PROBLEMS,383,11975446,50,9,0,8,0,3,5.555555555555555,1,1,0.25,1460
v=vDIe8X-Ioxo,18 BRILLIANT CAMPING IDEAS THAT WORK IN ANY SITUATION,526,5667051,53,9,0,8,0,3,5.888888888888889,1,1,0.9,1460
v=hD4F2n0fDJs,EPIC 5-MINUTE CRAFTS COMPILATION,3300,10721390,32,4,1,4,0,0,8.0,1,0,0.1,1460
v=mF6nws9vPHQ,15 MUST-TRY GLUE GUN HACKS,439,13497200,26,5,1,4,0,0,5.2,1,1,0.0,1460
v=YkghsV7J13U,20 TIPS IF YOU SPEND YOUR LIFE IN FRONT OF COMPUTER,960,262557,51,11,0,10,0,5,4.636363636363637,1,1,0.0,1460
v=nW7LEhZogDs,10 BEST PARENTING DIYs THAT WON'T COST YOU A PENNY,590,1294644,50,10,1,8,0,4,5.0,1,1,1.0,1460
v=WhaMvP01WI4,30 HEALTH FACTS YOU HAD NO IDEA ABOUT,960,387706,37,8,0,7,0,4,4.625,1,1,0.0,1460
v=7pS1xyvJRiU,20 GENIUS HACKS FOR YOUR BATHROOM,516,7901224,33,6,0,5,0,2,5.5,1,1,0.0,1460
v=-uAXehclhQE,18 WORKOUTS YOU CAN DO ANYWHERE,1080,228219,31,6,0,5,0,3,5.166666666666667,1,1,0.0,1460
v=NUox7qOt0XQ,15 COOL OFFICE DIYs THAT'LL MAKE YOUR WORKDAY SO MUCH BETTER,481,1714817,60,11,1,9,0,3,5.454545454545454,1,1,0.425,1460
v=jfyEiTYOHrE,99 ALL TIME BEST SCIENCE EXPERIMENTS AND TRICKS,2100,111045,47,8,0,7,0,2,5.875,1,1,1.0,1460
